Threshold: 0.10, Accuracy: 57.46%, Precision: 52.33%, Recall: 97.82%, F1 Score: 68.19%
Threshold: 0.30, Accuracy: 63.45%, Precision: 56.92%, Recall: 88.67%, F1 Score: 69.34%
Threshold: 0.31, Accuracy: 63.65%, Precision: 57.08%, Recall: 88.67%, F1 Score: 69.45%
Threshold: 0.32, Accuracy: 64.06%, Precision: 57.47%, Recall: 88.02%, F1 Score: 69.54%
Threshold: 0.33, Accuracy: 64.37%, Precision: 57.78%, Recall: 87.36%, F1 Score: 69.56%
Threshold: 0.34, Accuracy: 64.57%, Precision: 58.06%, Recall: 86.27%, F1 Score: 69.41%
Threshold: 0.35, Accuracy: 65.08%, Precision: 58.54%, Recall: 85.84%, F1 Score: 69.61%
Threshold: 0.36, Accuracy: 64.87%, Precision: 58.47%, Recall: 84.97%, F1 Score: 69.27%
Threshold: 0.37, Accuracy: 64.87%, Precision: 58.60%, Recall: 83.88%, F1 Score: 69.00%
Threshold: 0.38, Accuracy: 65.08%, Precision: 58.86%, Recall: 83.22%, F1 Score: 68.95%
Threshold: 0.39, Accuracy: 64.77%, Precision: 58.72%, Recall: 82.14%, F1 Score: 68.48%
Threshold: 0.40, Accuracy: 64.87%, Precision: 58.95%, Recall: 81.05%, F1 Score: 68.26%
Threshold: 0.41, Accuracy: 64.97%, Precision: 59.16%, Recall: 80.17%, F1 Score: 68.09%
Threshold: 0.42, Accuracy: 65.28%, Precision: 59.57%, Recall: 79.30%, F1 Score: 68.04%
Threshold: 0.43, Accuracy: 65.38%, Precision: 59.77%, Recall: 78.65%, F1 Score: 67.92%
Threshold: 0.44, Accuracy: 65.38%, Precision: 59.87%, Recall: 78.00%, F1 Score: 67.74%
Threshold: 0.45, Accuracy: 65.48%, Precision: 60.10%, Recall: 77.12%, F1 Score: 67.56%
Threshold: 0.46, Accuracy: 65.18%, Precision: 60.00%, Recall: 75.82%, F1 Score: 66.99%
Threshold: 0.47, Accuracy: 65.48%, Precision: 60.57%, Recall: 74.29%, F1 Score: 66.73%
Threshold: 0.48, Accuracy: 65.48%, Precision: 60.72%, Recall: 73.42%, F1 Score: 66.47%
Threshold: 0.49, Accuracy: 65.79%, Precision: 61.21%, Recall: 72.55%, F1 Score: 66.40%
Threshold: 0.50, Accuracy: 65.89%, Precision: 61.58%, Recall: 71.24%, F1 Score: 66.06%
Threshold: 0.51, Accuracy: 65.48%, Precision: 61.51%, Recall: 69.28%, F1 Score: 65.16%
Threshold: 0.52, Accuracy: 66.09%, Precision: 62.53%, Recall: 67.97%, F1 Score: 65.14%
Threshold: 0.53, Accuracy: 66.40%, Precision: 63.11%, Recall: 67.10%, F1 Score: 65.05%
Threshold: 0.54, Accuracy: 65.99%, Precision: 63.08%, Recall: 65.14%, F1 Score: 64.09%
Threshold: 0.55, Accuracy: 65.58%, Precision: 63.10%, Recall: 62.96%, F1 Score: 63.03%
Threshold: 0.56, Accuracy: 65.28%, Precision: 63.45%, Recall: 60.13%, F1 Score: 61.74%
Threshold: 0.57, Accuracy: 64.26%, Precision: 62.89%, Recall: 56.86%, F1 Score: 59.73%
Threshold: 0.58, Accuracy: 64.47%, Precision: 63.59%, Recall: 55.56%, F1 Score: 59.30%
Threshold: 0.59, Accuracy: 64.77%, Precision: 64.66%, Recall: 53.81%, F1 Score: 58.74%
Threshold: 0.60, Accuracy: 64.06%, Precision: 64.31%, Recall: 51.42%, F1 Score: 57.14%
Threshold: 0.61, Accuracy: 64.26%, Precision: 65.33%, Recall: 49.67%, F1 Score: 56.44%
Threshold: 0.62, Accuracy: 64.06%, Precision: 65.40%, Recall: 48.58%, F1 Score: 55.75%
Threshold: 0.63, Accuracy: 64.26%, Precision: 66.26%, Recall: 47.49%, F1 Score: 55.33%
Threshold: 0.64, Accuracy: 63.96%, Precision: 66.88%, Recall: 44.88%, F1 Score: 53.72%
Threshold: 0.65, Accuracy: 63.45%, Precision: 67.25%, Recall: 42.05%, F1 Score: 51.74%
Threshold: 0.66, Accuracy: 63.15%, Precision: 68.05%, Recall: 39.43%, F1 Score: 49.93%
Threshold: 0.67, Accuracy: 63.05%, Precision: 69.23%, Recall: 37.25%, F1 Score: 48.44%
Threshold: 0.68, Accuracy: 63.15%, Precision: 70.69%, Recall: 35.73%, F1 Score: 47.47%
Threshold: 0.69, Accuracy: 63.25%, Precision: 72.77%, Recall: 33.77%, F1 Score: 46.13%
Threshold: 0.70, Accuracy: 62.54%, Precision: 73.68%, Recall: 30.50%, F1 Score: 43.14%
Threshold: 0.71, Accuracy: 61.02%, Precision: 71.68%, Recall: 27.02%, F1 Score: 39.24%
Threshold: 0.72, Accuracy: 60.30%, Precision: 71.25%, Recall: 24.84%, F1 Score: 36.83%
Threshold: 0.73, Accuracy: 60.41%, Precision: 73.15%, Recall: 23.75%, F1 Score: 35.86%
Threshold: 0.74, Accuracy: 60.41%, Precision: 75.18%, Recall: 22.44%, F1 Score: 34.56%
Threshold: 0.75, Accuracy: 59.90%, Precision: 75.81%, Recall: 20.48%, F1 Score: 32.25%
Threshold: 0.76, Accuracy: 59.49%, Precision: 76.79%, Recall: 18.74%, F1 Score: 30.12%
Threshold: 0.77, Accuracy: 58.38%, Precision: 74.26%, Recall: 16.34%, F1 Score: 26.79%
Threshold: 0.78, Accuracy: 57.36%, Precision: 74.07%, Recall: 13.07%, F1 Score: 22.22%
Threshold: 0.79, Accuracy: 57.06%, Precision: 76.47%, Recall: 11.33%, F1 Score: 19.73%
Threshold: 0.80, Accuracy: 56.85%, Precision: 77.42%, Recall: 10.46%, F1 Score: 18.43%
Threshold: 0.81, Accuracy: 56.24%, Precision: 80.43%, Recall: 8.06%, F1 Score: 14.65%
Threshold: 0.82, Accuracy: 55.63%, Precision: 78.95%, Recall: 6.54%, F1 Score: 12.07%
Threshold: 0.83, Accuracy: 55.53%, Precision: 78.38%, Recall: 6.32%, F1 Score: 11.69%
Threshold: 0.84, Accuracy: 55.43%, Precision: 81.25%, Recall: 5.66%, F1 Score: 10.59%
Threshold: 0.85, Accuracy: 55.33%, Precision: 80.65%, Recall: 5.45%, F1 Score: 10.20%
Threshold: 0.86, Accuracy: 54.92%, Precision: 80.00%, Recall: 4.36%, F1 Score: 8.26%
Threshold: 0.87, Accuracy: 54.92%, Precision: 85.71%, Recall: 3.92%, F1 Score: 7.50%
Threshold: 0.88, Accuracy: 54.72%, Precision: 88.24%, Recall: 3.27%, F1 Score: 6.30%
Threshold: 0.89, Accuracy: 54.62%, Precision: 87.50%, Recall: 3.05%, F1 Score: 5.89%
Threshold: 0.90, Accuracy: 54.31%, Precision: 90.91%, Recall: 2.18%, F1 Score: 4.26%
Threshold: 0.91, Accuracy: 54.11%, Precision: 88.89%, Recall: 1.74%, F1 Score: 3.42%
Threshold: 0.92, Accuracy: 53.91%, Precision: 85.71%, Recall: 1.31%, F1 Score: 2.58%
Threshold: 0.93, Accuracy: 53.91%, Precision: 85.71%, Recall: 1.31%, F1 Score: 2.58%
Threshold: 0.94, Accuracy: 53.81%, Precision: 83.33%, Recall: 1.09%, F1 Score: 2.15%
Threshold: 0.95, Accuracy: 53.60%, Precision: 100.00%, Recall: 0.44%, F1 Score: 0.87%
Threshold: 0.96, Accuracy: 53.40%, Precision: 0.00%, Recall: 0.00%, F1 Score: 0.00%
Threshold: 0.97, Accuracy: 53.40%, Precision: 0.00%, Recall: 0.00%, F1 Score: 0.00%
Threshold: 0.98, Accuracy: 53.40%, Precision: 0.00%, Recall: 0.00%, F1 Score: 0.00%
Threshold: 0.99, Accuracy: 53.40%, Precision: 0.00%, Recall: 0.00%, F1 Score: 0.00%
