Threshold: 0.10, Accuracy: 63.55%, Precision: 60.64%, Recall: 97.25%, F1 Score: 74.70%
Threshold: 0.65, Accuracy: 59.70%, Precision: 75.87%, Recall: 39.82%, F1 Score: 52.23%
Threshold: 0.66, Accuracy: 58.27%, Precision: 75.38%, Recall: 36.51%, F1 Score: 49.20%
Threshold: 0.67, Accuracy: 57.87%, Precision: 76.64%, Recall: 34.31%, F1 Score: 47.40%
Threshold: 0.68, Accuracy: 56.85%, Precision: 76.55%, Recall: 31.74%, F1 Score: 44.88%
Threshold: 0.69, Accuracy: 55.33%, Precision: 76.38%, Recall: 27.89%, F1 Score: 40.86%
Threshold: 0.70, Accuracy: 54.82%, Precision: 77.78%, Recall: 25.69%, F1 Score: 38.62%
Threshold: 0.71, Accuracy: 53.91%, Precision: 76.92%, Recall: 23.85%, F1 Score: 36.41%
Threshold: 0.72, Accuracy: 52.69%, Precision: 76.16%, Recall: 21.10%, F1 Score: 33.05%
Threshold: 0.73, Accuracy: 52.28%, Precision: 76.98%, Recall: 19.63%, F1 Score: 31.29%
Threshold: 0.74, Accuracy: 51.98%, Precision: 78.12%, Recall: 18.35%, F1 Score: 29.72%
Threshold: 0.75, Accuracy: 51.68%, Precision: 79.49%, Recall: 17.06%, F1 Score: 28.10%
Threshold: 0.76, Accuracy: 51.68%, Precision: 81.65%, Recall: 16.33%, F1 Score: 27.22%
Threshold: 0.77, Accuracy: 50.76%, Precision: 81.25%, Recall: 14.31%, F1 Score: 24.34%
Threshold: 0.78, Accuracy: 49.75%, Precision: 80.49%, Recall: 12.11%, F1 Score: 21.05%
Threshold: 0.79, Accuracy: 48.63%, Precision: 80.00%, Recall: 9.54%, F1 Score: 17.05%
Threshold: 0.80, Accuracy: 47.72%, Precision: 77.78%, Recall: 7.71%, F1 Score: 14.02%
Threshold: 0.81, Accuracy: 47.51%, Precision: 81.82%, Recall: 6.61%, F1 Score: 12.22%
Threshold: 0.82, Accuracy: 47.41%, Precision: 86.49%, Recall: 5.87%, F1 Score: 11.00%
Threshold: 0.83, Accuracy: 47.41%, Precision: 88.57%, Recall: 5.69%, F1 Score: 10.69%
Threshold: 0.84, Accuracy: 47.11%, Precision: 87.50%, Recall: 5.14%, F1 Score: 9.71%
Threshold: 0.85, Accuracy: 47.11%, Precision: 96.15%, Recall: 4.59%, F1 Score: 8.76%
Threshold: 0.86, Accuracy: 46.90%, Precision: 100.00%, Recall: 4.04%, F1 Score: 7.76%
Threshold: 0.87, Accuracy: 46.29%, Precision: 100.00%, Recall: 2.94%, F1 Score: 5.70%
Threshold: 0.88, Accuracy: 45.89%, Precision: 100.00%, Recall: 2.20%, F1 Score: 4.31%
Threshold: 0.89, Accuracy: 45.89%, Precision: 100.00%, Recall: 2.20%, F1 Score: 4.31%
Threshold: 0.90, Accuracy: 45.58%, Precision: 100.00%, Recall: 1.65%, F1 Score: 3.25%
Threshold: 0.91, Accuracy: 45.38%, Precision: 100.00%, Recall: 1.28%, F1 Score: 2.54%
Threshold: 0.92, Accuracy: 45.28%, Precision: 100.00%, Recall: 1.10%, F1 Score: 2.18%
Threshold: 0.93, Accuracy: 45.18%, Precision: 100.00%, Recall: 0.92%, F1 Score: 1.82%
Threshold: 0.94, Accuracy: 45.08%, Precision: 100.00%, Recall: 0.73%, F1 Score: 1.46%
Threshold: 0.95, Accuracy: 44.77%, Precision: 100.00%, Recall: 0.18%, F1 Score: 0.37%
Threshold: 0.96, Accuracy: 44.67%, Precision: 0.00%, Recall: 0.00%, F1 Score: 0.00%
Threshold: 0.97, Accuracy: 44.67%, Precision: 0.00%, Recall: 0.00%, F1 Score: 0.00%
Threshold: 0.98, Accuracy: 44.67%, Precision: 0.00%, Recall: 0.00%, F1 Score: 0.00%
Threshold: 0.99, Accuracy: 44.67%, Precision: 0.00%, Recall: 0.00%, F1 Score: 0.00%
