Threshold: 0.10, Accuracy: 59.39%, Precision: 55.91%, Recall: 97.62%, F1 Score: 71.10%
Threshold: 0.29, Accuracy: 64.26%, Precision: 60.33%, Recall: 88.10%, F1 Score: 71.61%
Threshold: 0.30, Accuracy: 63.76%, Precision: 60.17%, Recall: 86.31%, F1 Score: 70.90%
Threshold: 0.31, Accuracy: 63.76%, Precision: 60.28%, Recall: 85.52%, F1 Score: 70.71%
Threshold: 0.32, Accuracy: 63.65%, Precision: 60.40%, Recall: 84.13%, F1 Score: 70.32%
Threshold: 0.33, Accuracy: 63.96%, Precision: 60.69%, Recall: 83.93%, F1 Score: 70.44%
Threshold: 0.34, Accuracy: 63.76%, Precision: 60.70%, Recall: 82.74%, F1 Score: 70.03%
Threshold: 0.35, Accuracy: 64.37%, Precision: 61.40%, Recall: 81.75%, F1 Score: 70.13%
Threshold: 0.36, Accuracy: 64.47%, Precision: 61.67%, Recall: 80.75%, F1 Score: 69.93%
Threshold: 0.37, Accuracy: 64.26%, Precision: 61.62%, Recall: 79.96%, F1 Score: 69.60%
Threshold: 0.38, Accuracy: 64.37%, Precision: 61.86%, Recall: 79.17%, F1 Score: 69.45%
Threshold: 0.39, Accuracy: 64.87%, Precision: 62.34%, Recall: 79.17%, F1 Score: 69.76%
Threshold: 0.40, Accuracy: 64.97%, Precision: 62.72%, Recall: 77.78%, F1 Score: 69.44%
Threshold: 0.41, Accuracy: 64.47%, Precision: 62.58%, Recall: 75.99%, F1 Score: 68.64%
Threshold: 0.42, Accuracy: 64.47%, Precision: 62.83%, Recall: 74.80%, F1 Score: 68.30%
Threshold: 0.43, Accuracy: 64.87%, Precision: 63.30%, Recall: 74.60%, F1 Score: 68.49%
Threshold: 0.44, Accuracy: 64.77%, Precision: 63.56%, Recall: 73.02%, F1 Score: 67.96%
Threshold: 0.45, Accuracy: 64.67%, Precision: 63.64%, Recall: 72.22%, F1 Score: 67.66%
Threshold: 0.46, Accuracy: 64.47%, Precision: 63.80%, Recall: 70.63%, F1 Score: 67.04%
Threshold: 0.47, Accuracy: 64.47%, Precision: 64.31%, Recall: 68.65%, F1 Score: 66.41%
Threshold: 0.48, Accuracy: 64.47%, Precision: 64.47%, Recall: 68.06%, F1 Score: 66.22%
Threshold: 0.49, Accuracy: 64.87%, Precision: 65.25%, Recall: 67.06%, F1 Score: 66.14%
Threshold: 0.50, Accuracy: 64.67%, Precision: 65.23%, Recall: 66.27%, F1 Score: 65.75%
Threshold: 0.51, Accuracy: 64.26%, Precision: 65.20%, Recall: 64.68%, F1 Score: 64.94%
Threshold: 0.52, Accuracy: 64.16%, Precision: 65.57%, Recall: 63.10%, F1 Score: 64.31%
Threshold: 0.53, Accuracy: 63.55%, Precision: 65.46%, Recall: 60.91%, F1 Score: 63.10%
Threshold: 0.54, Accuracy: 63.86%, Precision: 66.30%, Recall: 59.72%, F1 Score: 62.84%
Threshold: 0.55, Accuracy: 62.94%, Precision: 66.05%, Recall: 56.75%, F1 Score: 61.05%
Threshold: 0.56, Accuracy: 62.34%, Precision: 65.95%, Recall: 54.56%, F1 Score: 59.72%
Threshold: 0.57, Accuracy: 62.03%, Precision: 66.25%, Recall: 52.58%, F1 Score: 58.63%
Threshold: 0.58, Accuracy: 61.52%, Precision: 66.49%, Recall: 50.00%, F1 Score: 57.08%
Threshold: 0.59, Accuracy: 60.81%, Precision: 66.57%, Recall: 47.02%, F1 Score: 55.12%
Threshold: 0.60, Accuracy: 60.71%, Precision: 67.46%, Recall: 44.84%, F1 Score: 53.87%
Threshold: 0.61, Accuracy: 60.51%, Precision: 67.91%, Recall: 43.25%, F1 Score: 52.85%
Threshold: 0.62, Accuracy: 60.91%, Precision: 69.64%, Recall: 41.87%, F1 Score: 52.29%
Threshold: 0.63, Accuracy: 61.22%, Precision: 71.18%, Recall: 40.67%, F1 Score: 51.77%
Threshold: 0.64, Accuracy: 60.91%, Precision: 72.62%, Recall: 37.90%, F1 Score: 49.80%
Threshold: 0.65, Accuracy: 59.80%, Precision: 72.31%, Recall: 34.72%, F1 Score: 46.92%
Threshold: 0.66, Accuracy: 59.80%, Precision: 74.11%, Recall: 32.94%, F1 Score: 45.60%
Threshold: 0.67, Accuracy: 59.29%, Precision: 75.12%, Recall: 30.56%, F1 Score: 43.44%
Threshold: 0.68, Accuracy: 58.58%, Precision: 75.81%, Recall: 27.98%, F1 Score: 40.87%
Threshold: 0.69, Accuracy: 58.38%, Precision: 77.33%, Recall: 26.39%, F1 Score: 39.35%
Threshold: 0.70, Accuracy: 57.26%, Precision: 77.12%, Recall: 23.41%, F1 Score: 35.92%
Threshold: 0.71, Accuracy: 56.75%, Precision: 79.10%, Recall: 21.03%, F1 Score: 33.23%
Threshold: 0.72, Accuracy: 56.14%, Precision: 80.00%, Recall: 19.05%, F1 Score: 30.77%
Threshold: 0.73, Accuracy: 54.92%, Precision: 78.85%, Recall: 16.27%, F1 Score: 26.97%
Threshold: 0.74, Accuracy: 53.71%, Precision: 77.27%, Recall: 13.49%, F1 Score: 22.97%
Threshold: 0.75, Accuracy: 53.40%, Precision: 79.22%, Recall: 12.10%, F1 Score: 21.00%
Threshold: 0.76, Accuracy: 53.50%, Precision: 82.86%, Recall: 11.51%, F1 Score: 20.21%
Threshold: 0.77, Accuracy: 52.79%, Precision: 81.97%, Recall: 9.92%, F1 Score: 17.70%
Threshold: 0.78, Accuracy: 51.88%, Precision: 80.00%, Recall: 7.94%, F1 Score: 14.44%
Threshold: 0.79, Accuracy: 51.57%, Precision: 80.00%, Recall: 7.14%, F1 Score: 13.11%
Threshold: 0.80, Accuracy: 50.56%, Precision: 74.29%, Recall: 5.16%, F1 Score: 9.65%
Threshold: 0.81, Accuracy: 50.56%, Precision: 79.31%, Recall: 4.56%, F1 Score: 8.63%
Threshold: 0.82, Accuracy: 50.25%, Precision: 76.92%, Recall: 3.97%, F1 Score: 7.55%
Threshold: 0.83, Accuracy: 49.85%, Precision: 75.00%, Recall: 2.98%, F1 Score: 5.73%
Threshold: 0.84, Accuracy: 49.64%, Precision: 75.00%, Recall: 2.38%, F1 Score: 4.62%
Threshold: 0.85, Accuracy: 49.24%, Precision: 75.00%, Recall: 1.19%, F1 Score: 2.34%
Threshold: 0.86, Accuracy: 49.34%, Precision: 85.71%, Recall: 1.19%, F1 Score: 2.35%
Threshold: 0.87, Accuracy: 49.14%, Precision: 80.00%, Recall: 0.79%, F1 Score: 1.57%
Threshold: 0.88, Accuracy: 48.93%, Precision: 100.00%, Recall: 0.20%, F1 Score: 0.40%
Threshold: 0.89, Accuracy: 48.83%, Precision: 0.00%, Recall: 0.00%, F1 Score: 0.00%
Threshold: 0.90, Accuracy: 48.83%, Precision: 0.00%, Recall: 0.00%, F1 Score: 0.00%
Threshold: 0.91, Accuracy: 48.83%, Precision: 0.00%, Recall: 0.00%, F1 Score: 0.00%
Threshold: 0.92, Accuracy: 48.83%, Precision: 0.00%, Recall: 0.00%, F1 Score: 0.00%
Threshold: 0.93, Accuracy: 48.83%, Precision: 0.00%, Recall: 0.00%, F1 Score: 0.00%
Threshold: 0.94, Accuracy: 48.83%, Precision: 0.00%, Recall: 0.00%, F1 Score: 0.00%
Threshold: 0.95, Accuracy: 48.83%, Precision: 0.00%, Recall: 0.00%, F1 Score: 0.00%
Threshold: 0.96, Accuracy: 48.83%, Precision: 0.00%, Recall: 0.00%, F1 Score: 0.00%
Threshold: 0.97, Accuracy: 48.83%, Precision: 0.00%, Recall: 0.00%, F1 Score: 0.00%
Threshold: 0.98, Accuracy: 48.83%, Precision: 0.00%, Recall: 0.00%, F1 Score: 0.00%
Threshold: 0.99, Accuracy: 48.83%, Precision: 0.00%, Recall: 0.00%, F1 Score: 0.00%
