Threshold: 0.10, Accuracy: 61.93%, Precision: 59.58%, Recall: 98.18%, F1 Score: 74.16%
Threshold: 0.57, Accuracy: 64.67%, Precision: 69.08%, Recall: 66.06%, F1 Score: 67.54%
Threshold: 0.58, Accuracy: 64.37%, Precision: 69.28%, Recall: 64.60%, F1 Score: 66.86%
Threshold: 0.59, Accuracy: 64.87%, Precision: 70.36%, Recall: 63.69%, F1 Score: 66.86%
Threshold: 0.60, Accuracy: 64.57%, Precision: 70.69%, Recall: 62.04%, F1 Score: 66.08%
Threshold: 0.61, Accuracy: 64.16%, Precision: 71.24%, Recall: 59.67%, F1 Score: 64.95%
Threshold: 0.62, Accuracy: 63.45%, Precision: 71.08%, Recall: 57.85%, F1 Score: 63.78%
Threshold: 0.63, Accuracy: 63.25%, Precision: 71.53%, Recall: 56.39%, F1 Score: 63.06%
Threshold: 0.64, Accuracy: 61.83%, Precision: 71.18%, Recall: 52.74%, F1 Score: 60.59%
Threshold: 0.65, Accuracy: 61.52%, Precision: 71.50%, Recall: 51.28%, F1 Score: 59.72%
Threshold: 0.66, Accuracy: 60.91%, Precision: 71.73%, Recall: 49.09%, F1 Score: 58.29%
Threshold: 0.67, Accuracy: 60.91%, Precision: 72.83%, Recall: 47.45%, F1 Score: 57.46%
Threshold: 0.68, Accuracy: 61.12%, Precision: 73.91%, Recall: 46.53%, F1 Score: 57.11%
Threshold: 0.69, Accuracy: 60.30%, Precision: 74.30%, Recall: 43.80%, F1 Score: 55.11%
Threshold: 0.70, Accuracy: 59.39%, Precision: 73.87%, Recall: 41.79%, F1 Score: 53.38%
Threshold: 0.71, Accuracy: 58.27%, Precision: 73.22%, Recall: 39.42%, F1 Score: 51.25%
Threshold: 0.72, Accuracy: 56.95%, Precision: 72.46%, Recall: 36.50%, F1 Score: 48.54%
Threshold: 0.73, Accuracy: 57.16%, Precision: 74.42%, Recall: 35.04%, F1 Score: 47.64%
Threshold: 0.74, Accuracy: 56.24%, Precision: 74.89%, Recall: 32.12%, F1 Score: 44.96%
Threshold: 0.75, Accuracy: 55.53%, Precision: 75.00%, Recall: 30.11%, F1 Score: 42.97%
Threshold: 0.76, Accuracy: 55.03%, Precision: 76.12%, Recall: 27.92%, F1 Score: 40.85%
Threshold: 0.77, Accuracy: 54.21%, Precision: 76.50%, Recall: 25.55%, F1 Score: 38.30%
Threshold: 0.78, Accuracy: 52.99%, Precision: 76.40%, Recall: 22.45%, F1 Score: 34.70%
Threshold: 0.79, Accuracy: 52.49%, Precision: 78.17%, Recall: 20.26%, F1 Score: 32.17%
Threshold: 0.80, Accuracy: 51.88%, Precision: 78.46%, Recall: 18.61%, F1 Score: 30.09%
Threshold: 0.81, Accuracy: 51.37%, Precision: 81.65%, Recall: 16.24%, F1 Score: 27.09%
Threshold: 0.82, Accuracy: 49.54%, Precision: 79.31%, Recall: 12.59%, F1 Score: 21.73%
Threshold: 0.83, Accuracy: 49.24%, Precision: 80.77%, Recall: 11.50%, F1 Score: 20.13%
Threshold: 0.84, Accuracy: 48.32%, Precision: 81.97%, Recall: 9.12%, F1 Score: 16.42%
Threshold: 0.85, Accuracy: 48.22%, Precision: 83.93%, Recall: 8.58%, F1 Score: 15.56%
Threshold: 0.86, Accuracy: 47.82%, Precision: 82.69%, Recall: 7.85%, F1 Score: 14.33%
Threshold: 0.87, Accuracy: 47.41%, Precision: 85.71%, Recall: 6.57%, F1 Score: 12.20%
Threshold: 0.88, Accuracy: 46.80%, Precision: 92.86%, Recall: 4.74%, F1 Score: 9.03%
Threshold: 0.89, Accuracy: 46.09%, Precision: 90.48%, Recall: 3.47%, F1 Score: 6.68%
Threshold: 0.90, Accuracy: 45.79%, Precision: 100.00%, Recall: 2.55%, F1 Score: 4.98%
Threshold: 0.91, Accuracy: 45.48%, Precision: 100.00%, Recall: 2.01%, F1 Score: 3.94%
Threshold: 0.92, Accuracy: 44.87%, Precision: 100.00%, Recall: 0.91%, F1 Score: 1.81%
Threshold: 0.93, Accuracy: 44.47%, Precision: 100.00%, Recall: 0.18%, F1 Score: 0.36%
Threshold: 0.94, Accuracy: 44.47%, Precision: 100.00%, Recall: 0.18%, F1 Score: 0.36%
Threshold: 0.95, Accuracy: 44.37%, Precision: 0.00%, Recall: 0.00%, F1 Score: 0.00%
Threshold: 0.96, Accuracy: 44.37%, Precision: 0.00%, Recall: 0.00%, F1 Score: 0.00%
Threshold: 0.97, Accuracy: 44.37%, Precision: 0.00%, Recall: 0.00%, F1 Score: 0.00%
Threshold: 0.98, Accuracy: 44.37%, Precision: 0.00%, Recall: 0.00%, F1 Score: 0.00%
Threshold: 0.99, Accuracy: 44.37%, Precision: 0.00%, Recall: 0.00%, F1 Score: 0.00%
