Threshold: 0.10, Accuracy: 60.41%, Precision: 57.27%, Recall: 98.46%, F1 Score: 72.42%
Threshold: 0.46, Accuracy: 64.97%, Precision: 65.16%, Recall: 72.31%, F1 Score: 68.55%
Threshold: 0.47, Accuracy: 65.28%, Precision: 66.12%, Recall: 70.19%, F1 Score: 68.10%
Threshold: 0.48, Accuracy: 64.97%, Precision: 66.29%, Recall: 68.46%, F1 Score: 67.36%
Threshold: 0.49, Accuracy: 65.38%, Precision: 67.24%, Recall: 67.12%, F1 Score: 67.18%
Threshold: 0.50, Accuracy: 64.26%, Precision: 66.80%, Recall: 64.23%, F1 Score: 65.49%
Threshold: 0.51, Accuracy: 64.06%, Precision: 67.08%, Recall: 62.69%, F1 Score: 64.81%
Threshold: 0.52, Accuracy: 63.15%, Precision: 67.18%, Recall: 59.04%, F1 Score: 62.85%
Threshold: 0.53, Accuracy: 62.84%, Precision: 67.19%, Recall: 57.88%, F1 Score: 62.19%
Threshold: 0.54, Accuracy: 63.35%, Precision: 68.45%, Recall: 56.73%, F1 Score: 62.04%
Threshold: 0.55, Accuracy: 61.73%, Precision: 67.74%, Recall: 52.50%, F1 Score: 59.15%
Threshold: 0.56, Accuracy: 61.02%, Precision: 67.99%, Recall: 49.42%, F1 Score: 57.24%
Threshold: 0.57, Accuracy: 60.20%, Precision: 67.78%, Recall: 46.92%, F1 Score: 55.45%
Threshold: 0.58, Accuracy: 58.98%, Precision: 67.06%, Recall: 43.85%, F1 Score: 53.02%
Threshold: 0.59, Accuracy: 58.17%, Precision: 66.56%, Recall: 41.73%, F1 Score: 51.30%
Threshold: 0.60, Accuracy: 57.97%, Precision: 67.32%, Recall: 39.62%, F1 Score: 49.88%
Threshold: 0.61, Accuracy: 57.56%, Precision: 67.47%, Recall: 37.88%, F1 Score: 48.52%
Threshold: 0.62, Accuracy: 57.06%, Precision: 67.77%, Recall: 35.58%, F1 Score: 46.66%
Threshold: 0.63, Accuracy: 56.24%, Precision: 67.32%, Recall: 33.27%, F1 Score: 44.53%
Threshold: 0.64, Accuracy: 55.53%, Precision: 67.83%, Recall: 30.00%, F1 Score: 41.60%
Threshold: 0.65, Accuracy: 54.92%, Precision: 67.59%, Recall: 28.08%, F1 Score: 39.67%
Threshold: 0.66, Accuracy: 54.52%, Precision: 68.18%, Recall: 25.96%, F1 Score: 37.60%
Threshold: 0.67, Accuracy: 54.21%, Precision: 68.85%, Recall: 24.23%, F1 Score: 35.85%
Threshold: 0.68, Accuracy: 54.21%, Precision: 69.94%, Recall: 23.27%, F1 Score: 34.92%
Threshold: 0.69, Accuracy: 53.60%, Precision: 70.06%, Recall: 21.15%, F1 Score: 32.50%
Threshold: 0.70, Accuracy: 52.89%, Precision: 70.00%, Recall: 18.85%, F1 Score: 29.70%
Threshold: 0.71, Accuracy: 52.39%, Precision: 70.40%, Recall: 16.92%, F1 Score: 27.29%
Threshold: 0.72, Accuracy: 52.28%, Precision: 71.19%, Recall: 16.15%, F1 Score: 26.33%
Threshold: 0.73, Accuracy: 51.57%, Precision: 71.72%, Recall: 13.65%, F1 Score: 22.94%
Threshold: 0.74, Accuracy: 51.17%, Precision: 70.97%, Recall: 12.69%, F1 Score: 21.53%
Threshold: 0.75, Accuracy: 50.96%, Precision: 71.26%, Recall: 11.92%, F1 Score: 20.43%
Threshold: 0.76, Accuracy: 50.86%, Precision: 72.50%, Recall: 11.15%, F1 Score: 19.33%
Threshold: 0.77, Accuracy: 50.56%, Precision: 73.91%, Recall: 9.81%, F1 Score: 17.32%
Threshold: 0.78, Accuracy: 50.25%, Precision: 75.00%, Recall: 8.65%, F1 Score: 15.52%
Threshold: 0.79, Accuracy: 50.05%, Precision: 75.93%, Recall: 7.88%, F1 Score: 14.29%
Threshold: 0.80, Accuracy: 49.24%, Precision: 75.00%, Recall: 5.77%, F1 Score: 10.71%
Threshold: 0.81, Accuracy: 49.14%, Precision: 77.14%, Recall: 5.19%, F1 Score: 9.73%
Threshold: 0.82, Accuracy: 49.04%, Precision: 80.00%, Recall: 4.62%, F1 Score: 8.73%
Threshold: 0.83, Accuracy: 48.63%, Precision: 81.82%, Recall: 3.46%, F1 Score: 6.64%
Threshold: 0.84, Accuracy: 48.43%, Precision: 83.33%, Recall: 2.88%, F1 Score: 5.58%
Threshold: 0.85, Accuracy: 48.12%, Precision: 84.62%, Recall: 2.12%, F1 Score: 4.13%
Threshold: 0.86, Accuracy: 47.92%, Precision: 81.82%, Recall: 1.73%, F1 Score: 3.39%
Threshold: 0.87, Accuracy: 47.61%, Precision: 75.00%, Recall: 1.15%, F1 Score: 2.27%
Threshold: 0.88, Accuracy: 47.51%, Precision: 80.00%, Recall: 0.77%, F1 Score: 1.52%
Threshold: 0.89, Accuracy: 47.21%, Precision: 50.00%, Recall: 0.19%, F1 Score: 0.38%
Threshold: 0.90, Accuracy: 47.31%, Precision: 100.00%, Recall: 0.19%, F1 Score: 0.38%
Threshold: 0.91, Accuracy: 47.31%, Precision: 100.00%, Recall: 0.19%, F1 Score: 0.38%
Threshold: 0.92, Accuracy: 47.31%, Precision: 100.00%, Recall: 0.19%, F1 Score: 0.38%
Threshold: 0.93, Accuracy: 47.31%, Precision: 100.00%, Recall: 0.19%, F1 Score: 0.38%
Threshold: 0.94, Accuracy: 47.31%, Precision: 100.00%, Recall: 0.19%, F1 Score: 0.38%
Threshold: 0.95, Accuracy: 47.21%, Precision: 0.00%, Recall: 0.00%, F1 Score: 0.00%
Threshold: 0.96, Accuracy: 47.21%, Precision: 0.00%, Recall: 0.00%, F1 Score: 0.00%
Threshold: 0.97, Accuracy: 47.21%, Precision: 0.00%, Recall: 0.00%, F1 Score: 0.00%
Threshold: 0.98, Accuracy: 47.21%, Precision: 0.00%, Recall: 0.00%, F1 Score: 0.00%
Threshold: 0.99, Accuracy: 47.21%, Precision: 0.00%, Recall: 0.00%, F1 Score: 0.00%
